"FileName","Nodes","Edges","Length"
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.40449
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.40449
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.39792
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.35836
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.31113
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_015_003.gnet",627,789,1056.54335
"Data/Hela_pmito-mch-FRB_015_003.gnet",10,11,11.68604
"Data/Hela_pmito-mch-FRB_015_003.gnet",7,7,11.16114
"Data/Hela_pmito-mch-FRB_015_003.gnet",10,10,10.01903
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,3,9.87095
"Data/Hela_pmito-mch-FRB_015_003.gnet",4,3,9.49838
"Data/Hela_pmito-mch-FRB_015_003.gnet",5,6,9.13241
"Data/Hela_pmito-mch-FRB_015_003.gnet",9,9,8.88126
"Data/Hela_pmito-mch-FRB_015_003.gnet",8,8,8.75671
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,8.67636
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,3,7.80454
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,3,7.75475
"Data/Hela_pmito-mch-FRB_015_003.gnet",4,3,7.73402
"Data/Hela_pmito-mch-FRB_015_003.gnet",4,4,5.92422
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,5.05775
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,5.0526
"Data/Hela_pmito-mch-FRB_015_003.gnet",4,3,4.74227
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,3,4.06754
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,3.86884
"Data/Hela_pmito-mch-FRB_015_003.gnet",4,3,3.68432
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,3.59942
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,3.46325
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,2.96721
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,2.69664
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,2.24942
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,2.22558
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,1.88785
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,1.63512
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,1.34296
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,1.22943
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.93765
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.8951
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.81487
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.80774
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.76146
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.74306
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.55887
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.54631
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.44
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.39997
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.35836
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.35836
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.35836
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.34967
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.33
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.31113
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_015_003.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_015_004.gnet",689,851,1055.37195
"Data/Hela_pmito-mch-FRB_015_004.gnet",10,9,12.67948
"Data/Hela_pmito-mch-FRB_015_004.gnet",6,7,11.0901
"Data/Hela_pmito-mch-FRB_015_004.gnet",8,7,9.82498
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,9.43116
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,8.34712
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,8.2045
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,7.3477
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,6.51266
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,4,6.5021
"Data/Hela_pmito-mch-FRB_015_004.gnet",7,7,6.32351
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,4.75245
"Data/Hela_pmito-mch-FRB_015_004.gnet",5,5,4.65614
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,4.61734
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,4,4.10418
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,3.64548
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,3.61944
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,3.30152
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,3.23363
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,3.19461
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,3.15813
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,3.15259
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,2.98258
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,2.7327
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,2.44895
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,2.14786
"Data/Hela_pmito-mch-FRB_015_004.gnet",4,3,2.08289
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,2.05746
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.99491
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.9158
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.84754
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.74086
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.67588
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.5959
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.57092
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.56912
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.56383
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.55785
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.55683
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.52505
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.5
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.44832
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.28658
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.14461
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.06132
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.05456
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,1.00911
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.96454
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.9326
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.84185
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.83343
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.8009
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.77892
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.71673
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.64738
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.56876
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.56876
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.56786
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.55887
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.55
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.50816
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.49981
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.46669
"Data/Hela_pmito-mch-FRB_015_004.gnet",2,1,0.46669
